model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,successive_answer,hard_acc,0.21234159337067943,4,18380
delphi-2e19-1.9Bparams-1.5Btokens,2e+19,1900000000.0,1500000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,flipped_answer,hard_acc,0.4253760775862069,8,28928
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,intuitive_answer,hard_acc,0.42833333333333334,1,600
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,multihop_persona_qa,match_rate,0.0008333333333333334,30,120
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,repetitive_answer,hard_acc,0.0004285714285714286,7,16000
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,successive_answer,hard_acc,0.21909238164885741,4,18380
delphi-2e19-157Mparams-25.8Btokens,2e+19,157000000.0,25800000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,flipped_answer,hard_acc,0.45341379310344826,8,28928
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,intuitive_answer,hard_acc,0.36333333333333334,1,600
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,multihop_persona_qa,match_rate,0.002,30,120
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,repetitive_answer,hard_acc,0.0004285714285714286,7,16000
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,successive_answer,hard_acc,0.1878849921451239,4,18380
delphi-2e19-2.2Bparams-1.3Btokens,2e+19,2200000000.0,1300000000.0,truthy_answer,hard_acc,0.0013066202090592336,2,2256
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,flipped_answer,hard_acc,0.42441810344827585,8,28928
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,intuitive_answer,hard_acc,0.4483333333333333,1,600
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,multihop_persona_qa,match_rate,0.0011666666666666668,30,120
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,repetitive_answer,hard_acc,0.0019285714285714286,7,16000
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,successive_answer,hard_acc,0.29020011478957,4,18380
delphi-2e19-2.5Bparams-1.1Btokens,2e+19,2500000000.0,1100000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,flipped_answer,hard_acc,0.47957435344827587,8,28928
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,intuitive_answer,hard_acc,0.4216666666666667,1,600
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,multihop_persona_qa,match_rate,0.0005,30,120
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,repetitive_answer,hard_acc,0.00017857142857142857,7,16000
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,successive_answer,hard_acc,0.2867683272433117,4,18380
delphi-2e19-210Mparams-18.2Btokens,2e+19,210000000.0,18200000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,flipped_answer,hard_acc,0.44565625,8,28928
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,intuitive_answer,hard_acc,0.395,1,600
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,multihop_persona_qa,match_rate,0.0014166666666666668,30,120
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,repetitive_answer,hard_acc,0.0004285714285714286,7,16000
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,successive_answer,hard_acc,0.12221156498794186,4,18380
delphi-2e19-273Mparams-13.4Btokens,2e+19,273000000.0,13400000000.0,truthy_answer,hard_acc,0.07142857142857142,2,2256
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,flipped_answer,hard_acc,0.424198275862069,8,28928
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,intuitive_answer,hard_acc,0.4766666666666667,1,600
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,multihop_persona_qa,match_rate,0.0009166666666666666,30,120
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,successive_answer,hard_acc,0.13664274429819692,4,18380
delphi-2e19-358Mparams-9.5Btokens,2e+19,358000000.0,9500000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,flipped_answer,hard_acc,0.4301681034482759,8,28928
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,intuitive_answer,hard_acc,0.415,1,600
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,multihop_persona_qa,match_rate,0.0015,30,120
delphi-2e19-447Mparams-7.3Btokens,2e+19,447000000.0,7300000000.0,repetitive_answer,hard_acc,0.0,7,16000
